"Statistic Label","Month","State","UNIT","VALUE"
"Total Exports (Seasonally Adjusted)","1979 June","State","Euro Thousand","306464"
"Total Exports (Seasonally Adjusted)","1979 July","State","Euro Thousand","428169"
"Total Exports (Seasonally Adjusted)","1979 August","State","Euro Thousand","366354"
"Total Exports (Seasonally Adjusted)","1979 September","State","Euro Thousand","363656"
"Total Exports (Seasonally Adjusted)","1979 October","State","Euro Thousand","408810"
"Total Exports (Seasonally Adjusted)","1979 November","State","Euro Thousand","411685"
"Total Exports (Seasonally Adjusted)","1979 December","State","Euro Thousand","394258"
"Total Exports (Seasonally Adjusted)","1980 January","State","Euro Thousand","427842"
"Total Exports (Seasonally Adjusted)","1980 February","State","Euro Thousand","419912"
"Total Exports (Seasonally Adjusted)","1980 March","State","Euro Thousand","438241"
"Total Exports (Seasonally Adjusted)","1980 April","State","Euro Thousand","433876"
"Total Exports (Seasonally Adjusted)","1980 May","State","Euro Thousand","397119"
"Total Exports (Seasonally Adjusted)","1980 June","State","Euro Thousand","407542"
"Total Exports (Seasonally Adjusted)","1980 July","State","Euro Thousand","437858"
"Total Exports (Seasonally Adjusted)","1980 August","State","Euro Thousand","438424"
"Total Exports (Seasonally Adjusted)","1980 September","State","Euro Thousand","457983"
"Total Exports (Seasonally Adjusted)","1980 October","State","Euro Thousand","440825"
"Total Exports (Seasonally Adjusted)","1980 November","State","Euro Thousand","431067"
"Total Exports (Seasonally Adjusted)","1980 December","State","Euro Thousand","441596"
"Total Exports (Seasonally Adjusted)","1981 January","State","Euro Thousand","462346"
"Total Exports (Seasonally Adjusted)","1981 February","State","Euro Thousand","447472"
"Total Exports (Seasonally Adjusted)","1981 March","State","Euro Thousand","466877"
"Total Exports (Seasonally Adjusted)","1981 April","State","Euro Thousand","450315"
"Total Exports (Seasonally Adjusted)","1981 May","State","Euro Thousand","513913"
"Total Exports (Seasonally Adjusted)","1981 June","State","Euro Thousand","511876"
"Total Exports (Seasonally Adjusted)","1981 July","State","Euro Thousand","505029"
"Total Exports (Seasonally Adjusted)","1981 August","State","Euro Thousand","545331"
"Total Exports (Seasonally Adjusted)","1981 September","State","Euro Thousand","512493"
"Total Exports (Seasonally Adjusted)","1981 October","State","Euro Thousand","553858"
"Total Exports (Seasonally Adjusted)","1981 November","State","Euro Thousand","546264"
"Total Exports (Seasonally Adjusted)","1981 December","State","Euro Thousand","549121"
"Total Exports (Seasonally Adjusted)","1982 January","State","Euro Thousand","513173"
"Total Exports (Seasonally Adjusted)","1982 February","State","Euro Thousand","576324"
"Total Exports (Seasonally Adjusted)","1982 March","State","Euro Thousand","575880"
"Total Exports (Seasonally Adjusted)","1982 April","State","Euro Thousand","618617"
"Total Exports (Seasonally Adjusted)","1982 May","State","Euro Thousand","596522"
"Total Exports (Seasonally Adjusted)","1982 June","State","Euro Thousand","632621"
"Total Exports (Seasonally Adjusted)","1982 July","State","Euro Thousand","605417"
"Total Exports (Seasonally Adjusted)","1982 August","State","Euro Thousand","591114"
"Total Exports (Seasonally Adjusted)","1982 September","State","Euro Thousand","613837"
"Total Exports (Seasonally Adjusted)","1982 October","State","Euro Thousand","613275"
"Total Exports (Seasonally Adjusted)","1982 November","State","Euro Thousand","623290"
"Total Exports (Seasonally Adjusted)","1982 December","State","Euro Thousand","648872"
"Total Exports (Seasonally Adjusted)","1983 January","State","Euro Thousand","633455"
"Total Exports (Seasonally Adjusted)","1983 February","State","Euro Thousand","678830"
"Total Exports (Seasonally Adjusted)","1983 March","State","Euro Thousand","601827"
"Total Exports (Seasonally Adjusted)","1983 April","State","Euro Thousand","720321"
"Total Exports (Seasonally Adjusted)","1983 May","State","Euro Thousand","671376"
"Total Exports (Seasonally Adjusted)","1983 June","State","Euro Thousand","715941"
"Total Exports (Seasonally Adjusted)","1983 July","State","Euro Thousand","757452"
"Total Exports (Seasonally Adjusted)","1983 August","State","Euro Thousand","802937"
"Total Exports (Seasonally Adjusted)","1983 September","State","Euro Thousand","763949"
"Total Exports (Seasonally Adjusted)","1983 October","State","Euro Thousand","798939"
"Total Exports (Seasonally Adjusted)","1983 November","State","Euro Thousand","832188"
"Total Exports (Seasonally Adjusted)","1983 December","State","Euro Thousand","833377"
"Total Exports (Seasonally Adjusted)","1984 January","State","Euro Thousand","892604"
"Total Exports (Seasonally Adjusted)","1984 February","State","Euro Thousand","837373"
"Total Exports (Seasonally Adjusted)","1984 March","State","Euro Thousand","869409"
"Total Exports (Seasonally Adjusted)","1984 April","State","Euro Thousand","893492"
"Total Exports (Seasonally Adjusted)","1984 May","State","Euro Thousand","974007"
"Total Exports (Seasonally Adjusted)","1984 June","State","Euro Thousand","937827"
"Total Exports (Seasonally Adjusted)","1984 July","State","Euro Thousand","951061"
"Total Exports (Seasonally Adjusted)","1984 August","State","Euro Thousand","852438"
"Total Exports (Seasonally Adjusted)","1984 September","State","Euro Thousand","988915"
"Total Exports (Seasonally Adjusted)","1984 October","State","Euro Thousand","1008767"
"Total Exports (Seasonally Adjusted)","1984 November","State","Euro Thousand","987590"
"Total Exports (Seasonally Adjusted)","1984 December","State","Euro Thousand","1075437"
"Total Exports (Seasonally Adjusted)","1985 January","State","Euro Thousand","1052091"
"Total Exports (Seasonally Adjusted)","1985 February","State","Euro Thousand","1045972"
"Total Exports (Seasonally Adjusted)","1985 March","State","Euro Thousand","1091406"
"Total Exports (Seasonally Adjusted)","1985 April","State","Euro Thousand","1010981"
"Total Exports (Seasonally Adjusted)","1985 May","State","Euro Thousand","1043312"
"Total Exports (Seasonally Adjusted)","1985 June","State","Euro Thousand","1077427"
"Total Exports (Seasonally Adjusted)","1985 July","State","Euro Thousand","1029676"
"Total Exports (Seasonally Adjusted)","1985 August","State","Euro Thousand","987215"
"Total Exports (Seasonally Adjusted)","1985 September","State","Euro Thousand","1060743"
"Total Exports (Seasonally Adjusted)","1985 October","State","Euro Thousand","995625"
"Total Exports (Seasonally Adjusted)","1985 November","State","Euro Thousand","998656"
"Total Exports (Seasonally Adjusted)","1985 December","State","Euro Thousand","978128"
"Total Exports (Seasonally Adjusted)","1986 January","State","Euro Thousand","988326"
"Total Exports (Seasonally Adjusted)","1986 February","State","Euro Thousand","1012093"
"Total Exports (Seasonally Adjusted)","1986 March","State","Euro Thousand","1028512"
"Total Exports (Seasonally Adjusted)","1986 April","State","Euro Thousand","984397"
"Total Exports (Seasonally Adjusted)","1986 May","State","Euro Thousand","995871"
"Total Exports (Seasonally Adjusted)","1986 June","State","Euro Thousand","913372"
"Total Exports (Seasonally Adjusted)","1986 July","State","Euro Thousand","949256"
"Total Exports (Seasonally Adjusted)","1986 August","State","Euro Thousand","977476"
"Total Exports (Seasonally Adjusted)","1986 September","State","Euro Thousand","999756"
"Total Exports (Seasonally Adjusted)","1986 October","State","Euro Thousand","965587"
"Total Exports (Seasonally Adjusted)","1986 November","State","Euro Thousand","1102865"
"Total Exports (Seasonally Adjusted)","1986 December","State","Euro Thousand","1004135"
"Total Exports (Seasonally Adjusted)","1987 January","State","Euro Thousand","981262"
"Total Exports (Seasonally Adjusted)","1987 February","State","Euro Thousand","1043636"
"Total Exports (Seasonally Adjusted)","1987 March","State","Euro Thousand","1051801"
"Total Exports (Seasonally Adjusted)","1987 April","State","Euro Thousand","1066592"
"Total Exports (Seasonally Adjusted)","1987 May","State","Euro Thousand","1226385"
"Total Exports (Seasonally Adjusted)","1987 June","State","Euro Thousand","1112149"
"Total Exports (Seasonally Adjusted)","1987 July","State","Euro Thousand","1118098"
"Total Exports (Seasonally Adjusted)","1987 August","State","Euro Thousand","1160710"
"Total Exports (Seasonally Adjusted)","1987 September","State","Euro Thousand","1140683"
"Total Exports (Seasonally Adjusted)","1987 October","State","Euro Thousand","1230405"
"Total Exports (Seasonally Adjusted)","1987 November","State","Euro Thousand","1279764"
"Total Exports (Seasonally Adjusted)","1987 December","State","Euro Thousand","1198267"
"Total Exports (Seasonally Adjusted)","1988 January","State","Euro Thousand","1168635"
"Total Exports (Seasonally Adjusted)","1988 February","State","Euro Thousand","1194059"
"Total Exports (Seasonally Adjusted)","1988 March","State","Euro Thousand","1206808"
"Total Exports (Seasonally Adjusted)","1988 April","State","Euro Thousand","1235864"
"Total Exports (Seasonally Adjusted)","1988 May","State","Euro Thousand","1244225"
"Total Exports (Seasonally Adjusted)","1988 June","State","Euro Thousand","1292841"
"Total Exports (Seasonally Adjusted)","1988 July","State","Euro Thousand","1342116"
"Total Exports (Seasonally Adjusted)","1988 August","State","Euro Thousand","1382591"
"Total Exports (Seasonally Adjusted)","1988 September","State","Euro Thousand","1326933"
"Total Exports (Seasonally Adjusted)","1988 October","State","Euro Thousand","1383605"
"Total Exports (Seasonally Adjusted)","1988 November","State","Euro Thousand","1380528"
"Total Exports (Seasonally Adjusted)","1988 December","State","Euro Thousand","1418595"
"Total Exports (Seasonally Adjusted)","1989 January","State","Euro Thousand","1504044"
"Total Exports (Seasonally Adjusted)","1989 February","State","Euro Thousand","1469929"
"Total Exports (Seasonally Adjusted)","1989 March","State","Euro Thousand","1436188"
"Total Exports (Seasonally Adjusted)","1989 April","State","Euro Thousand","1665338"
"Total Exports (Seasonally Adjusted)","1989 May","State","Euro Thousand","1525018"
"Total Exports (Seasonally Adjusted)","1989 June","State","Euro Thousand","1508516"
"Total Exports (Seasonally Adjusted)","1989 July","State","Euro Thousand","1569862"
"Total Exports (Seasonally Adjusted)","1989 August","State","Euro Thousand","1501138"
"Total Exports (Seasonally Adjusted)","1989 September","State","Euro Thousand","1660978"
"Total Exports (Seasonally Adjusted)","1989 October","State","Euro Thousand","1550549"
"Total Exports (Seasonally Adjusted)","1989 November","State","Euro Thousand","1606984"
"Total Exports (Seasonally Adjusted)","1989 December","State","Euro Thousand","1573532"
