"Statistic Label","Month","Age Group","Sex","UNIT","VALUE"
"Seasonally Adjusted Monthly Unemployment Rate","2006 September","15 - 74 years","Both sexes","%","4.9"
"Seasonally Adjusted Monthly Unemployment Rate","2006 October","15 - 74 years","Both sexes","%","4.6"
"Seasonally Adjusted Monthly Unemployment Rate","2006 November","15 - 74 years","Both sexes","%","4.6"
"Seasonally Adjusted Monthly Unemployment Rate","2006 December","15 - 74 years","Both sexes","%","4.7"
"Seasonally Adjusted Monthly Unemployment Rate","2007 January","15 - 74 years","Both sexes","%","4.8"
"Seasonally Adjusted Monthly Unemployment Rate","2007 February","15 - 74 years","Both sexes","%","4.9"
"Seasonally Adjusted Monthly Unemployment Rate","2007 March","15 - 74 years","Both sexes","%","5"
"Seasonally Adjusted Monthly Unemployment Rate","2007 April","15 - 74 years","Both sexes","%","5"
"Seasonally Adjusted Monthly Unemployment Rate","2007 May","15 - 74 years","Both sexes","%","5"
"Seasonally Adjusted Monthly Unemployment Rate","2007 June","15 - 74 years","Both sexes","%","5"
"Seasonally Adjusted Monthly Unemployment Rate","2007 July","15 - 74 years","Both sexes","%","4.9"
"Seasonally Adjusted Monthly Unemployment Rate","2007 August","15 - 74 years","Both sexes","%","4.9"
"Seasonally Adjusted Monthly Unemployment Rate","2007 September","15 - 74 years","Both sexes","%","4.9"
"Seasonally Adjusted Monthly Unemployment Rate","2007 October","15 - 74 years","Both sexes","%","5.1"
"Seasonally Adjusted Monthly Unemployment Rate","2007 November","15 - 74 years","Both sexes","%","5.2"
"Seasonally Adjusted Monthly Unemployment Rate","2007 December","15 - 74 years","Both sexes","%","5.3"
"Seasonally Adjusted Monthly Unemployment Rate","2008 January","15 - 74 years","Both sexes","%","5.3"
"Seasonally Adjusted Monthly Unemployment Rate","2008 February","15 - 74 years","Both sexes","%","5.3"
"Seasonally Adjusted Monthly Unemployment Rate","2008 March","15 - 74 years","Both sexes","%","5.5"
"Seasonally Adjusted Monthly Unemployment Rate","2008 April","15 - 74 years","Both sexes","%","5.6"
"Seasonally Adjusted Monthly Unemployment Rate","2008 May","15 - 74 years","Both sexes","%","5.9"
"Seasonally Adjusted Monthly Unemployment Rate","2008 June","15 - 74 years","Both sexes","%","6.3"
"Seasonally Adjusted Monthly Unemployment Rate","2008 July","15 - 74 years","Both sexes","%","6.9"
"Seasonally Adjusted Monthly Unemployment Rate","2008 August","15 - 74 years","Both sexes","%","7.4"
"Seasonally Adjusted Monthly Unemployment Rate","2008 September","15 - 74 years","Both sexes","%","7.8"
"Seasonally Adjusted Monthly Unemployment Rate","2008 October","15 - 74 years","Both sexes","%","8.1"
"Seasonally Adjusted Monthly Unemployment Rate","2008 November","15 - 74 years","Both sexes","%","8.5"
"Seasonally Adjusted Monthly Unemployment Rate","2008 December","15 - 74 years","Both sexes","%","9"
"Seasonally Adjusted Monthly Unemployment Rate","2009 January","15 - 74 years","Both sexes","%","10.1"
"Seasonally Adjusted Monthly Unemployment Rate","2009 February","15 - 74 years","Both sexes","%","10.9"
"Seasonally Adjusted Monthly Unemployment Rate","2009 March","15 - 74 years","Both sexes","%","11.6"
"Seasonally Adjusted Monthly Unemployment Rate","2009 April","15 - 74 years","Both sexes","%","12.2"
"Seasonally Adjusted Monthly Unemployment Rate","2009 May","15 - 74 years","Both sexes","%","12.7"
"Seasonally Adjusted Monthly Unemployment Rate","2009 June","15 - 74 years","Both sexes","%","12.9"
"Seasonally Adjusted Monthly Unemployment Rate","2009 July","15 - 74 years","Both sexes","%","13"
"Seasonally Adjusted Monthly Unemployment Rate","2009 August","15 - 74 years","Both sexes","%","13.2"
"Seasonally Adjusted Monthly Unemployment Rate","2009 September","15 - 74 years","Both sexes","%","13.7"
"Seasonally Adjusted Monthly Unemployment Rate","2009 October","15 - 74 years","Both sexes","%","13.8"
"Seasonally Adjusted Monthly Unemployment Rate","2009 November","15 - 74 years","Both sexes","%","13.9"
"Seasonally Adjusted Monthly Unemployment Rate","2009 December","15 - 74 years","Both sexes","%","13.8"
"Seasonally Adjusted Monthly Unemployment Rate","2010 January","15 - 74 years","Both sexes","%","13.8"
"Seasonally Adjusted Monthly Unemployment Rate","2010 February","15 - 74 years","Both sexes","%","13.7"
"Seasonally Adjusted Monthly Unemployment Rate","2010 March","15 - 74 years","Both sexes","%","13.9"
"Seasonally Adjusted Monthly Unemployment Rate","2010 April","15 - 74 years","Both sexes","%","14.2"
"Seasonally Adjusted Monthly Unemployment Rate","2010 May","15 - 74 years","Both sexes","%","14.5"
"Seasonally Adjusted Monthly Unemployment Rate","2010 June","15 - 74 years","Both sexes","%","14.4"
"Seasonally Adjusted Monthly Unemployment Rate","2010 July","15 - 74 years","Both sexes","%","14.3"
"Seasonally Adjusted Monthly Unemployment Rate","2010 August","15 - 74 years","Both sexes","%","14.4"
"Seasonally Adjusted Monthly Unemployment Rate","2010 September","15 - 74 years","Both sexes","%","15.1"
"Seasonally Adjusted Monthly Unemployment Rate","2010 October","15 - 74 years","Both sexes","%","15.6"
"Seasonally Adjusted Monthly Unemployment Rate","2010 November","15 - 74 years","Both sexes","%","15.7"
"Seasonally Adjusted Monthly Unemployment Rate","2010 December","15 - 74 years","Both sexes","%","15.6"
"Seasonally Adjusted Monthly Unemployment Rate","2011 January","15 - 74 years","Both sexes","%","15.4"
"Seasonally Adjusted Monthly Unemployment Rate","2011 February","15 - 74 years","Both sexes","%","15.1"
"Seasonally Adjusted Monthly Unemployment Rate","2011 March","15 - 74 years","Both sexes","%","14.9"
"Seasonally Adjusted Monthly Unemployment Rate","2011 April","15 - 74 years","Both sexes","%","14.9"
"Seasonally Adjusted Monthly Unemployment Rate","2011 May","15 - 74 years","Both sexes","%","15"
"Seasonally Adjusted Monthly Unemployment Rate","2011 June","15 - 74 years","Both sexes","%","15.2"
"Seasonally Adjusted Monthly Unemployment Rate","2011 July","15 - 74 years","Both sexes","%","15.5"
"Seasonally Adjusted Monthly Unemployment Rate","2011 August","15 - 74 years","Both sexes","%","15.6"
"Seasonally Adjusted Monthly Unemployment Rate","2011 September","15 - 74 years","Both sexes","%","15.7"
"Seasonally Adjusted Monthly Unemployment Rate","2011 October","15 - 74 years","Both sexes","%","15.7"
"Seasonally Adjusted Monthly Unemployment Rate","2011 November","15 - 74 years","Both sexes","%","15.8"
"Seasonally Adjusted Monthly Unemployment Rate","2011 December","15 - 74 years","Both sexes","%","16.1"
"Seasonally Adjusted Monthly Unemployment Rate","2012 January","15 - 74 years","Both sexes","%","15.6"
"Seasonally Adjusted Monthly Unemployment Rate","2012 February","15 - 74 years","Both sexes","%","16.1"
"Seasonally Adjusted Monthly Unemployment Rate","2012 March","15 - 74 years","Both sexes","%","16.1"
"Seasonally Adjusted Monthly Unemployment Rate","2012 April","15 - 74 years","Both sexes","%","15.7"
"Seasonally Adjusted Monthly Unemployment Rate","2012 May","15 - 74 years","Both sexes","%","15.5"
"Seasonally Adjusted Monthly Unemployment Rate","2012 June","15 - 74 years","Both sexes","%","15.4"
"Seasonally Adjusted Monthly Unemployment Rate","2012 July","15 - 74 years","Both sexes","%","15.6"
"Seasonally Adjusted Monthly Unemployment Rate","2012 August","15 - 74 years","Both sexes","%","15.5"
"Seasonally Adjusted Monthly Unemployment Rate","2012 September","15 - 74 years","Both sexes","%","15.4"
"Seasonally Adjusted Monthly Unemployment Rate","2012 October","15 - 74 years","Both sexes","%","15.2"
"Seasonally Adjusted Monthly Unemployment Rate","2012 November","15 - 74 years","Both sexes","%","15"
"Seasonally Adjusted Monthly Unemployment Rate","2012 December","15 - 74 years","Both sexes","%","14.8"
"Seasonally Adjusted Monthly Unemployment Rate","2013 January","15 - 74 years","Both sexes","%","14.7"
"Seasonally Adjusted Monthly Unemployment Rate","2013 February","15 - 74 years","Both sexes","%","14.6"
"Seasonally Adjusted Monthly Unemployment Rate","2013 March","15 - 74 years","Both sexes","%","14.3"
"Seasonally Adjusted Monthly Unemployment Rate","2013 April","15 - 74 years","Both sexes","%","14.5"
"Seasonally Adjusted Monthly Unemployment Rate","2013 May","15 - 74 years","Both sexes","%","14.5"
"Seasonally Adjusted Monthly Unemployment Rate","2013 June","15 - 74 years","Both sexes","%","14.1"
"Seasonally Adjusted Monthly Unemployment Rate","2013 July","15 - 74 years","Both sexes","%","13.6"
"Seasonally Adjusted Monthly Unemployment Rate","2013 August","15 - 74 years","Both sexes","%","13.3"
"Seasonally Adjusted Monthly Unemployment Rate","2013 September","15 - 74 years","Both sexes","%","13.1"
"Seasonally Adjusted Monthly Unemployment Rate","2013 October","15 - 74 years","Both sexes","%","12.9"
"Seasonally Adjusted Monthly Unemployment Rate","2013 November","15 - 74 years","Both sexes","%","12.8"
"Seasonally Adjusted Monthly Unemployment Rate","2013 December","15 - 74 years","Both sexes","%","12.8"
"Seasonally Adjusted Monthly Unemployment Rate","2014 January","15 - 74 years","Both sexes","%","12.9"
"Seasonally Adjusted Monthly Unemployment Rate","2014 February","15 - 74 years","Both sexes","%","12.9"
"Seasonally Adjusted Monthly Unemployment Rate","2014 March","15 - 74 years","Both sexes","%","12.7"
"Seasonally Adjusted Monthly Unemployment Rate","2014 April","15 - 74 years","Both sexes","%","12.4"
"Seasonally Adjusted Monthly Unemployment Rate","2014 May","15 - 74 years","Both sexes","%","12.2"
"Seasonally Adjusted Monthly Unemployment Rate","2014 June","15 - 74 years","Both sexes","%","12"
"Seasonally Adjusted Monthly Unemployment Rate","2014 July","15 - 74 years","Both sexes","%","11.9"
"Seasonally Adjusted Monthly Unemployment Rate","2014 August","15 - 74 years","Both sexes","%","11.7"
"Seasonally Adjusted Monthly Unemployment Rate","2014 September","15 - 74 years","Both sexes","%","11.4"
"Seasonally Adjusted Monthly Unemployment Rate","2014 October","15 - 74 years","Both sexes","%","11"
"Seasonally Adjusted Monthly Unemployment Rate","2014 November","15 - 74 years","Both sexes","%","10.8"
"Seasonally Adjusted Monthly Unemployment Rate","2014 December","15 - 74 years","Both sexes","%","10.8"
"Seasonally Adjusted Monthly Unemployment Rate","2015 January","15 - 74 years","Both sexes","%","10.7"
"Seasonally Adjusted Monthly Unemployment Rate","2015 February","15 - 74 years","Both sexes","%","10.7"
"Seasonally Adjusted Monthly Unemployment Rate","2015 March","15 - 74 years","Both sexes","%","10.5"
"Seasonally Adjusted Monthly Unemployment Rate","2015 April","15 - 74 years","Both sexes","%","10.3"
"Seasonally Adjusted Monthly Unemployment Rate","2015 May","15 - 74 years","Both sexes","%","10"
"Seasonally Adjusted Monthly Unemployment Rate","2015 June","15 - 74 years","Both sexes","%","9.9"
"Seasonally Adjusted Monthly Unemployment Rate","2015 July","15 - 74 years","Both sexes","%","9.6"
"Seasonally Adjusted Monthly Unemployment Rate","2015 August","15 - 74 years","Both sexes","%","9.5"
"Seasonally Adjusted Monthly Unemployment Rate","2015 September","15 - 74 years","Both sexes","%","9.5"
"Seasonally Adjusted Monthly Unemployment Rate","2015 October","15 - 74 years","Both sexes","%","9.6"
"Seasonally Adjusted Monthly Unemployment Rate","2015 November","15 - 74 years","Both sexes","%","9.6"
"Seasonally Adjusted Monthly Unemployment Rate","2015 December","15 - 74 years","Both sexes","%","9.1"
"Seasonally Adjusted Monthly Unemployment Rate","2016 January","15 - 74 years","Both sexes","%","9.1"
"Seasonally Adjusted Monthly Unemployment Rate","2016 February","15 - 74 years","Both sexes","%","8.9"
"Seasonally Adjusted Monthly Unemployment Rate","2016 March","15 - 74 years","Both sexes","%","8.8"
"Seasonally Adjusted Monthly Unemployment Rate","2016 April","15 - 74 years","Both sexes","%","8.9"
"Seasonally Adjusted Monthly Unemployment Rate","2016 May","15 - 74 years","Both sexes","%","8.8"
"Seasonally Adjusted Monthly Unemployment Rate","2016 June","15 - 74 years","Both sexes","%","8.7"
"Seasonally Adjusted Monthly Unemployment Rate","2016 July","15 - 74 years","Both sexes","%","8.5"
"Seasonally Adjusted Monthly Unemployment Rate","2016 August","15 - 74 years","Both sexes","%","8.3"
"Seasonally Adjusted Monthly Unemployment Rate","2016 September","15 - 74 years","Both sexes","%","7.9"
"Seasonally Adjusted Monthly Unemployment Rate","2016 October","15 - 74 years","Both sexes","%","7.7"
"Seasonally Adjusted Monthly Unemployment Rate","2016 November","15 - 74 years","Both sexes","%","7.5"
"Seasonally Adjusted Monthly Unemployment Rate","2016 December","15 - 74 years","Both sexes","%","7.5"
"Seasonally Adjusted Monthly Unemployment Rate","2017 January","15 - 74 years","Both sexes","%","7.4"
"Seasonally Adjusted Monthly Unemployment Rate","2017 February","15 - 74 years","Both sexes","%","7.3"
"Seasonally Adjusted Monthly Unemployment Rate","2017 March","15 - 74 years","Both sexes","%","7.1"
"Seasonally Adjusted Monthly Unemployment Rate","2017 April","15 - 74 years","Both sexes","%","6.8"
"Seasonally Adjusted Monthly Unemployment Rate","2017 May","15 - 74 years","Both sexes","%","6.6"
"Seasonally Adjusted Monthly Unemployment Rate","2017 June","15 - 74 years","Both sexes","%","6.6"
"Seasonally Adjusted Monthly Unemployment Rate","2017 July","15 - 74 years","Both sexes","%","6.7"
"Seasonally Adjusted Monthly Unemployment Rate","2017 August","15 - 74 years","Both sexes","%","6.6"
"Seasonally Adjusted Monthly Unemployment Rate","2017 September","15 - 74 years","Both sexes","%","6.6"
"Seasonally Adjusted Monthly Unemployment Rate","2017 October","15 - 74 years","Both sexes","%","6.6"
"Seasonally Adjusted Monthly Unemployment Rate","2017 November","15 - 74 years","Both sexes","%","6.4"
"Seasonally Adjusted Monthly Unemployment Rate","2017 December","15 - 74 years","Both sexes","%","6.3"
"Seasonally Adjusted Monthly Unemployment Rate","2018 January","15 - 74 years","Both sexes","%","6.1"
